year,id,dest,category,type,rules,ops
2000,ABE,itin,civil,ac,ifr,19866
2000,ABE,itin,civil,ac,vfr,597
2000,ABE,itin,civil,at,ifr,18054
2000,ABE,itin,civil,at,vfr,455
2000,ABE,itin,civil,ga,ifr,30473
2000,ABE,itin,civil,ga,vfr,28307
2000,ABE,itin,mil,mil,ifr,1966
2000,ABE,itin,mil,mil,vfr,213
2000,ABE,local,civil,NA,NA,34690
2000,ABE,local,mil,NA,NA,1896
2000,ABI,itin,civil,ac,ifr,148
2000,ABI,itin,civil,ac,vfr,129
2000,ABI,itin,civil,at,ifr,11084
2000,ABI,itin,civil,at,vfr,2405
2000,ABI,itin,civil,ga,ifr,7790
2000,ABI,itin,civil,ga,vfr,15832
2000,ABI,itin,mil,mil,ifr,8478
2000,ABI,itin,mil,mil,vfr,2202
2000,ABI,local,civil,NA,NA,13403
2000,ABI,local,mil,NA,NA,19080
2000,ABQ,itin,civil,ac,ifr,78473
2000,ABQ,itin,civil,ac,vfr,3358
2000,ABQ,itin,civil,at,ifr,30493
2000,ABQ,itin,civil,at,vfr,3948
2000,ABQ,itin,civil,ga,ifr,39772
2000,ABQ,itin,civil,ga,vfr,23412
2000,ABQ,itin,mil,mil,ifr,13336
2000,ABQ,itin,mil,mil,vfr,8896
2000,ABQ,local,civil,NA,NA,11409
2000,ABQ,local,mil,NA,NA,20076
2000,ABY,itin,civil,ac,ifr,119
2000,ABY,itin,civil,ac,vfr,130
2000,ABY,itin,civil,at,ifr,8115
2000,ABY,itin,civil,at,vfr,1557
2000,ABY,itin,civil,ga,ifr,6663
2000,ABY,itin,civil,ga,vfr,12495
2000,ABY,itin,mil,mil,ifr,543
2000,ABY,itin,mil,mil,vfr,977
2000,ABY,local,civil,NA,NA,14069
2000,ABY,local,mil,NA,NA,1342
2000,ACK,itin,civil,ac,ifr,0
2000,ACK,itin,civil,ac,vfr,5
2000,ACK,itin,civil,at,ifr,39112
2000,ACK,itin,civil,at,vfr,80747
