year,id,ifr_itin_ac,ifr_itin_at,ifr_itin_ga,ifr_itin_mil,ifr_itin,vfr_itin_ac,vfr_itin_at,vfr_itin_ga,vfr_itin_mil,vfr_itin,itin_ac,itin_at,itin_ga,itin_mil,itin,local_civil,local_mil,local,total_ops
2000,ABE,19866,18054,30473,1966,70359,597,455,28307,213,29572,20463,18509,58780,2179,99931,34690,1896,36586,136517
2000,ABI,148,11084,7790,8478,27500,129,2405,15832,2202,20568,277,13489,23622,10680,48068,13403,19080,32483,80551
2000,ABQ,78473,30493,39772,13336,162074,3358,3948,23412,8896,39614,81831,34441,63184,22232,201688,11409,20076,31485,233173
2000,ABY,119,8115,6663,543,15440,130,1557,12495,977,15159,249,9672,19158,1520,30599,14069,1342,15411,46010
2000,ACK,0,39112,15244,121,54477,5,80747,30798,598,112148,5,119859,46042,719,166625,3321,421,3742,170367
2000,ACT,156,7413,11591,2049,21209,179,4765,16723,720,22387,335,12178,28314,2769,43596,12251,1237,13488,57084
2000,ACY,11427,10302,17953,10079,49761,3091,2409,11928,3759,21187,14518,12711,29881,13838,70948,30754,28800,59554,130502
2000,ADM,0,1,4066,943,5010,4,36,10146,1407,11593,4,37,14212,2350,16603,30945,6297,37242,53845
2000,ADQ,1193,2740,877,1079,5889,385,5054,1906,2364,9709,1578,7794,2783,3443,15598,1782,11534,13316,28914
2000,ADS,6,9071,40246,35,49358,44,1525,102589,189,104347,50,10596,142835,224,153705,10225,14,10239,163944
2000,ADW,7,0,3077,39704,42788,56,4,3022,9597,12679,63,4,6099,49301,55467,5080,43096,48176,103643
2000,AEX,1209,12361,4922,2265,20757,503,958,761,854,3076,1712,13319,5683,3119,23833,22515,12079,34594,58427
2000,AFW,8040,2461,9882,2803,23186,1715,1030,29167,1701,33613,9755,3491,39049,4504,56799,104382,10361,114743,171542
2000,AGC,0,10491,23208,91,33790,93,15391,39510,524,55518,93,25882,62718,615,89308,37562,274,37836,127144
2000,AGS,4891,6293,13834,2267,27285,217,285,7199,789,8490,5108,6578,21033,3056,35775,9773,2021,11794,47569
2000,AHN,1,1534,11763,197,13495,5,301,18642,759,19707,6,1835,30405,956,33202,28246,412,28658,61860
2000,AKN,1235,5752,468,220,7675,513,14496,2967,348,18324,1748,20248,3435,568,25999,739,405,1144,27143
2000,ALB,28044,52720,19255,1019,101038,889,2006,21329,2108,26332,28933,54726,40584,3127,127370,15188,2203,17391,144761
2000,ALN,1,216,11379,524,12120,27,698,21060,529,22314,28,914,32439,1053,34434,37366,3481,40847,75281
2000,ALO,26,11491,9289,365,21171,11,388,11537,729,12665,37,11879,20826,1094,33836,14266,980,15246,49082
2000,ALW,0,2607,2924,19,5550,0,810,15337,109,16256,0,3417,18261,128,21806,20500,166,20666,42472
2000,AMA,10105,13878,12599,14882,51464,702,946,11759,15034,28441,10807,14824,24358,29916,79905,5515,34980,40495,120400
2000,ANC,116546,50652,19239,2543,188980,1142,40233,76329,2629,120333,117688,90885,95568,5172,309313,8394,56,8450,317763
2000,ANE,0,1881,9552,7,11440,0,1201,58908,176,60285,0,3082,68460,183,71725,84551,270,84821,156546
2000,APA,0,18923,51449,319,70691,0,16721,112953,541,130215,0,35644,164402,860,200906,196747,511,197258,398164
2000,APC,0,619,15050,5,15674,33,176,47492,141,47842,33,795,62542,146,63516,81478,51,81529,145045
2000,APF,10,11504,26388,8,37910,40,2307,52968,120,55435,50,13811,79356,128,93345,25265,34,25299,118644
2000,ARA,55,1482,2583,5045,9165,129,17586,8194,2200,28109,184,19068,10777,7245,37274,58089,4889,62978,100252
2000,ARB,0,534,4202,0,4736,0,1588,31323,0,32911,0,2122,35525,0,37647,66693,2,66695,104342
2000,ARR,0,183,7327,52,7562,0,258,44333,231,44822,0,441,51660,283,52384,74756,194,74950,127334
2000,ASE,7159,6702,19104,9,32974,473,497,11074,158,12202,7632,7199,30178,167,45176,3570,72,3642,48818
2000,ASH,0,0,7369,0,7369,234,5,42791,16,43046,234,5,50160,16,50415,50798,242,51040,101455
2000,ATL,660326,195641,17539,1510,875016,25064,8379,3399,522,37364,685390,204020,20938,2032,912380,1035,34,1069,913449
2000,ATW,7986,15325,10753,1,34065,731,1022,14232,34,16019,8717,16347,24985,35,50084,14425,98,14523,64607
2000,AUS,98986,15955,42028,4235,161204,1024,2065,33709,1240,38038,100010,18020,75737,5475,199242,13393,0,13393,212635
2000,AVL,5619,11917,18596,1629,37761,52,132,18485,1490,20159,5671,12049,37081,3119,57920,19476,2955,22431,80351
2000,AVP,6787,13452,12761,471,33471,678,1085,16820,837,19420,7465,14537,29581,1308,52891,69844,1362,71206,124097
2000,AZO,4165,17097,15307,87,36656,208,1296,22791,126,24421,4373,18393,38098,213,61077,38730,14,38744,99821
2000,BAF,2,494,5269,1049,6814,11,264,22661,2454,25390,13,758,27930,3503,32204,29901,4175,34076,66280
2000,BCT,0,301,1017,0,1318,0,144,3021,21,3186,0,445,4038,21,4504,1674,0,1674,6178
2000,BDL,79221,44316,25205,4139,152881,4053,4472,4605,1464,14594,83274,48788,29810,5603,167475,2053,208,2261,169736
2000,BDR,0,1113,8294,89,9496,0,469,34208,233,34910,0,1582,42502,322,44406,45775,89,45864,90270
2000,BED,648,12079,33653,717,47097,272,3157,85601,568,89598,920,15236,119254,1285,136695,75674,2,75676,212371
2000,BET,2925,6388,811,140,10264,1056,124010,4921,566,130553,3981,130398,5732,706,140817,4114,145,4259,145076
2000,BFI,10184,22375,36753,431,69743,1154,23261,147545,1202,173162,11338,45636,184298,1633,242905,122631,325,122956,365861
2000,BFL,291,25063,22755,379,48488,120,19964,51235,877,72196,411,45027,73990,1256,120684,69993,515,70508,191192
2000,BFM,1899,4591,9213,1581,17284,522,1031,20030,5762,27345,2421,5622,29243,7343,44629,9847,34190,44037,88666
2000,BGM,1498,14373,7531,739,24141,74,413,4717,213,5417,1572,14786,12248,952,29558,8899,414,9313,38871
2000,BGR,2244,23181,10495,6214,42134,471,1992,11799,3569,17831,2715,25173,22294,9783,59965,12537,16724,29261,89226
2000,BHM,28045,37482,51524,6097,123148,2120,2544,14794,2585,22043,30165,40026,66318,8682,145191,6050,2676,8726,153917
2000,BIL,12027,30763,14683,401,57874,399,8035,24155,263,32852,12426,38798,38838,664,90726,26034,412,26446,117172
2000,BIS,2817,10962,9846,954,24579,287,1149,11989,1619,15044,3104,12111,21835,2573,39623,13347,2107,15454,55077
2000,BJC,0,1369,18936,51,20356,0,976,71612,188,72776,0,2345,90548,239,93132,79097,231,79328,172460
2000,BKL,22,6069,14366,107,20564,65,2807,37108,483,40463,87,8876,51474,590,61027,38555,739,39294,100321
2000,BLI,242,13185,5569,171,19167,237,9162,31895,802,42096,479,22347,37464,973,61263,28025,442,28467,89730
2000,BMI,3862,11455,7711,21,23049,339,798,12091,365,13593,4201,12253,19802,386,36642,20916,178,21094,57736
2000,BNA,129818,37163,49821,3676,220478,789,681,20510,551,22531,130607,37844,70331,4227,243009,5126,0,5126,248135
2000,BOI,43719,23966,20065,4128,91878,345,3974,42332,3864,50515,44064,27940,62397,7992,142393,23898,4719,28617,171010
2000,BOS,265185,189083,22503,279,477050,6077,14772,9130,272,30251,271262,203855,31633,551,507301,961,21,982,508283
2000,BPT,14,10972,9915,3653,24554,17,1062,7795,1131,10005,31,12034,17710,4784,34559,12167,235,12402,46961
2000,BRO,1192,5273,5057,2800,14322,277,960,9297,332,10866,1469,6233,14354,3132,25188,2932,3558,6490,31678
2000,BTL,3,401,11279,970,12653,31,560,42866,2602,46059,34,961,54145,3572,58712,39771,847,40618,99330
2000,BTR,9114,13815,27010,1693,51632,792,2364,25794,1238,30188,9906,16179,52804,2931,81820,38617,712,39329,121149
2000,BTV,6684,34891,10661,2582,54818,558,3612,19113,2363,25646,7242,38503,29774,4945,80464,29603,5296,34899,115363
2000,BUF,50516,48293,29188,2320,130317,1563,1312,15365,1161,19401,52079,49605,44553,3481,149718,13252,2364,15616,165334
2000,BUR,54484,17129,29645,31,101289,3162,12349,34012,337,49860,57646,29478,63657,368,151149,9581,0,9581,160730
2000,BVY,0,164,4895,2,5061,0,313,38394,124,38831,0,477,43289,126,43892,56445,16,56461,100353
2000,BWI,211291,62935,14578,1195,289999,1396,2075,7225,946,11642,212687,65010,21803,2141,301641,13688,19,13707,315348
2000,BZN,5272,4750,3684,12,13718,436,1654,16583,190,18863,5708,6404,20267,202,32581,22227,10,22237,54818
2000,CAE,18740,40309,20702,2427,82178,320,741,18206,644,19911,19060,41050,38908,3071,102089,24980,2817,27797,129886
2000,CAK,5219,24305,26530,599,56653,416,2044,26421,2478,31359,5635,26349,52951,3077,88012,25866,4221,30087,118099
2000,CCR,0,218,17028,0,17246,13,1869,89771,193,91846,13,2087,106799,193,109092,92506,67,92573,201665
2000,CDW,0,2,8162,0,8164,0,163,97412,20,97595,0,165,105574,20,105759,93146,0,93146,198905
2000,CGF,0,5855,16724,0,22579,0,3152,26442,40,29634,0,9007,43166,40,52213,12952,12,12964,65177
2000,CGX,0,1541,17252,4,18797,0,610,17383,70,18063,0,2151,34635,74,36860,854,12,866,37726
2000,CHA,9382,11851,30435,3813,55481,2212,3262,24557,3116,33147,11594,15113,54992,6929,88628,20151,5765,25916,114544
2000,CHD,0,10,1417,1,1428,0,1761,74296,24,76081,0,1771,75713,25,77509,172281,21,172302,249811
2000,CHO,7,20492,10668,364,31531,36,1568,20859,674,23137,43,22060,31527,1038,54668,21061,3272,24333,79001
2000,CHS,13923,26535,20360,15821,76639,924,1475,13807,628,16834,14847,28010,34167,16449,93473,8606,34050,42656,136129
2000,CIC,0,3020,2114,68,5202,2,3414,23477,311,27204,2,6434,25591,379,32406,11101,516,11617,44023
2000,CID,14180,20589,18989,71,53829,154,269,13826,212,14461,14334,20858,32815,283,68290,13900,12,13912,82202
2000,CKB,26,5434,4621,1703,11784,6,428,13653,2304,16391,32,5862,18274,4007,28175,22103,7274,29377,57552
2000,CLE,172037,128740,20989,2345,324111,670,278,6298,288,7534,172707,129018,27287,2633,331645,232,22,254,331899
2000,CLL,99,7411,8073,5442,21025,98,850,26500,4328,31776,197,8261,34573,9770,52801,23377,10050,33427,86228
2000,CLT,271993,127461,42345,3264,445063,2693,2545,9800,269,15307,274686,130006,52145,3533,460370,0,0,0,460370
2000,CMA,0,947,15192,0,16139,2,1613,86068,123,87806,2,2560,101260,123,103945,82428,103,82531,186476
2000,CMH,73500,95357,26812,1611,197280,2142,1194,27171,137,30644,75642,96551,53983,1748,227924,9932,155,10087,238011
2000,CMI,367,13302,21348,279,35296,35,397,22387,48,22867,402,13699,43735,327,58163,76718,725,77443,135606
